순위,선수명,팀명,타율,경기수,타수,득점,안타,2루타,3루타,홈런,타점
1,김선빈,KIA,0.37,137,476,84,176,34,1,5,64
2,박건우,두산,0.366,131,483,91,177,40,2,20,78
3,박민우,NC,0.363,106,388,84,141,25,4,3,47
4,나성범,NC,0.347,125,498,103,173,42,2,24,99
5,박용택,LG,0.344,138,509,83,175,23,2,14,90
6,최형우,KIA,0.342,142,514,98,176,36,3,26,120
7,김재환,두산,0.34,144,544,110,185,34,2,35,115
8,로사리오,한화,0.339,119,445,100,151,30,1,37,111
9,손아섭,롯데,0.335,144,576,113,193,35,4,20,80
10,서건창,넥센,0.332,139,539,87,179,28,3,6,76
11,이명기,KIA,0.332,115,464,79,154,24,4,9,63
12,송광민,한화,0.327,117,437,71,143,26,0,13,75
13,이정후,넥센,0.324,144,552,111,179,29,8,2,47
14,전준우,롯데,0.321,110,455,76,146,27,1,18,69
15,이대호,롯데,0.32,142,540,73,173,13,0,34,111
16,버나디나,KIA,0.32,139,557,118,178,26,8,27,111
17,최정,SK,0.316,130,430,89,136,18,1,46,113
18,안치홍,KIA,0.316,132,487,95,154,29,2,21,93
19,러프,삼성,0.315,134,515,90,162,38,0,31,124
20,윤석민,kt,0.312,142,538,90,168,30,1,20,105
21,모창민,NC,0.312,136,474,64,148,25,3,17,90
22,고종욱,넥센,0.312,123,426,70,133,24,8,8,54
23,구자욱,삼성,0.31,144,564,108,175,39,10,21,107
24,김주찬,KIA,0.309,122,440,78,136,39,2,12,70
25,오재일,두산,0.306,128,412,62,126,27,0,26,89
26,유한준,kt,0.306,133,445,52,136,19,0,13,68
27,민병헌,두산,0.304,123,447,73,136,21,0,14,71
28,강한울,삼성,0.303,135,412,58,125,9,3,0,24
29,번즈,롯데,0.303,116,423,71,128,38,0,15,57
30,김하성,넥센,0.302,141,526,90,159,36,3,23,114
